 You make me feel like it’s Halloween , Muse ♥️
 Little Bastards , Palaye Royale ♥️
 The man who sold the world (Live) , Nirvana ♥️
 Headache , Motionless in white
 Don’t let me go , Cigarettes after sex
 Parliament of owls , Agnes Obel 🎻
 Welcome to the black parade , My chemical romance
 Shut up , New years day
 Arms tonite , Mother mother
 House of memories , Panic! At the disco
 Stressed out , Twenty one pilots
 I’m sorry , Drag me out 🗣️
 Monster , Ghost Town
 Everybody wants to rule the world , Tears for fears ♥️
 My girlfriend’s girlfriend , Type o negative 🗣️
 Keep , Mother mother ♥️
 Bring me to life , Evanescence
 Range life , Pavement ♥️
 What could have been , Sting ♥️
 We got the moves , Electric Callboy ♥️🗣️
 Rhinestone eyes , Gorillaz ♥️
 The curse , Agnes Obel ♥️🎻
 How deep is your love , the bird and the bee
 Stripped , Palaye Royale
 Heart,shaped box 
 Universe , Ghost town
 Blades , Arlo parks ♥️
 Each time you fall in love , Cigarettes after sex
